,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score,retweets_n,likes_n,engagement_score,clean_tweets,tweet_tokens,pos,nouns,irrelevance,engagement,sentiment_score
0,"govt job: national institute of technology karnataka recruitment 2019 apply for junior research fellow posts 
http://bit.ly/2phoxxe pic.twitter.com/zcnrckxgmr",Engineer Feed,1190895567943024640,2019-11-03 07:36:43,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Fellow posts pic.twitter.com/ZCNRcKXGMr,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'junior', 'research', 'fellow', 'posts', 'pic', 'twitter', 'com', 'zcnrckxgmr']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('junior', 'JJ'), ('research', 'NN'), ('fellow', 'JJ'), ('posts', 'NNS'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('zcnrckxgmr', 'NN')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'posts', 'twitter', 'com', 'zcnrckxgmr']",0,0,3.0
1,"govt job: national institute of technology karnataka recruitment 2019 apply for junior research fellow posts 
http://bit.ly/2phoxxe pic.twitter.com/zcnrckxgmr",Engineer Feed,1190895567943024640,2019-11-03 07:36:43,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Fellow posts pic.twitter.com/ZCNRcKXGMr,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'junior', 'research', 'fellow', 'posts', 'pic', 'twitter', 'com', 'zcnrckxgmr']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('junior', 'JJ'), ('research', 'NN'), ('fellow', 'JJ'), ('posts', 'NNS'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('zcnrckxgmr', 'NN')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'posts', 'twitter', 'com', 'zcnrckxgmr']",0,0,3.0
2,"our champ in a hero.. @ national institute of technology, karnataka https://www.instagram.com/p/b6dv4tbaqfn/?igshid=xi7bh2rssyg7 …",Vinoth Srinivasan,1205878423895318528,2019-12-14 15:53:15,[],withluv_vino,0.0,0.0,,0.7717,Positive,4.5434,0.0,0.0,0.0,Our champ in a hero. National Institute of Technology Karnataka …,"['champ', 'hero', 'national', 'institute', 'technology', 'karnataka']","[('champ', 'NN'), ('hero', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['champ', 'hero', 'institute', 'technology', 'karnataka']",0,0,4.5434
3,"தீபங்கள் பேசும்.. @ national institute of technology, karnataka https://www.instagram.com/p/b57usssa1v8/?igshid=yujnza3930tx …",Vinoth Srinivasan,1204749034008637440,2019-12-11 13:05:27,[],withluv_vino,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,தீபங்கள பேசும். National Institute of Technology Karnataka …,"['த', 'பங', 'கள', 'ப', 'ச', 'ம', 'national', 'institute', 'technology', 'karnataka']","[('த', 'JJ'), ('பங', 'NNP'), ('கள', 'NNP'), ('ப', 'NNP'), ('ச', 'NNP'), ('ம', 'NNP'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['பங', 'கள', 'ப', 'ச', 'ம', 'institute', 'technology', 'karnataka']",0,0,3.0
4,research associate (#me / http://m.tech .) in national institute of technology karnataka https://goo.gl/fb/nwxcnz ,Sarkari-Job,1204301833189109760,2019-12-10 07:28:26,['ME'],sarkarijobind,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Research Associate (#ME . In National Institute Of Technology Karnataka,"['research', 'associate', 'national', 'institute', 'technology', 'karnataka']","[('research', 'NN'), ('associate', 'JJ'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['research', 'institute', 'technology', 'karnataka']",0,0,3.0
5,"our champ in a hero.. @ national institute of technology, karnataka https://www.instagram.com/p/b6dv4tbaqfn/?igshid=xi7bh2rssyg7 …",Vinoth Srinivasan,1205878423895318528,2019-12-14 15:53:15,[],withluv_vino,0.0,0.0,,0.7717,Positive,4.5434,0.0,0.0,0.0,Our champ in a hero. National Institute of Technology Karnataka …,"['champ', 'hero', 'national', 'institute', 'technology', 'karnataka']","[('champ', 'NN'), ('hero', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['champ', 'hero', 'institute', 'technology', 'karnataka']",0,0,4.5434
6,"தீபங்கள் பேசும்.. @ national institute of technology, karnataka https://www.instagram.com/p/b57usssa1v8/?igshid=yujnza3930tx …",Vinoth Srinivasan,1204749034008637440,2019-12-11 13:05:27,[],withluv_vino,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,தீபங்கள பேசும். National Institute of Technology Karnataka …,"['த', 'பங', 'கள', 'ப', 'ச', 'ம', 'national', 'institute', 'technology', 'karnataka']","[('த', 'JJ'), ('பங', 'NNP'), ('கள', 'NNP'), ('ப', 'NNP'), ('ச', 'NNP'), ('ம', 'NNP'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['பங', 'கள', 'ப', 'ச', 'ம', 'institute', 'technology', 'karnataka']",0,0,3.0
7,research associate (#me / http://m.tech .) in national institute of technology karnataka https://goo.gl/fb/nwxcnz ,Sarkari-Job,1204301833189109760,2019-12-10 07:28:26,['ME'],sarkarijobind,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Research Associate (#ME . In National Institute Of Technology Karnataka,"['research', 'associate', 'national', 'institute', 'technology', 'karnataka']","[('research', 'NN'), ('associate', 'JJ'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['research', 'institute', 'technology', 'karnataka']",0,0,3.0
8,"at national institute of technology, karnataka https://www.facebook.com/1apurba1/posts/1138168229703373 …",Apurba Mohaptra.,1153715911276335104,2019-07-23 17:18:02,[],ApurbaMohaptra,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,at National Institute of Technology Karnataka …,"['national', 'institute', 'technology', 'karnataka']","[('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['institute', 'technology', 'karnataka']",0,0,3.0
9,"#workshop department of applied mechanics and hydraulics of national institute of technology - karnataka (nit-k), suratkal will host a 3-day workshop on coastal reservoirs as a sustainable strategy for water security on its srinivasnagar premises from july 22. @surathkal_nitk",Jaideep Shenoy 🇮🇳,1152790966178201600,2019-07-21 04:02:38,['Workshop'],jaideepSTOI,1.0,1.0,,0.34,Positive,3.68,0.0014771048744460858,0.00015108022359873092,0.09466950141071438,#Workshop Department of applied mechanics and hydraulics of National Institute of Technology Karnataka (NIT-K) Suratkal will host a 3-day workshop on coastal reservoirs as a sustainable strategy for water security on its Srinivasnagar premises from July 22 @surathkal_nitk,"['workshop', 'department', 'applied', 'mechanics', 'hydraulics', 'national', 'institute', 'technology', 'karnataka', 'nit', 'k', 'suratkal', 'host', '3', 'day', 'workshop', 'coastal', 'reservoirs', 'sustainable', 'strategy', 'water', 'security', 'srinivasnagar', 'premises', 'july', '22', 'surathkal_nitk']","[('workshop', 'NN'), ('department', 'NN'), ('applied', 'VBD'), ('mechanics', 'NNS'), ('hydraulics', 'NNS'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NNP'), ('nit', 'NN'), ('k', 'NN'), ('suratkal', 'VBD'), ('host', 'JJ'), ('3', 'CD'), ('day', 'NN'), ('workshop', 'VBD'), ('coastal', 'JJ'), ('reservoirs', 'NNS'), ('sustainable', 'JJ'), ('strategy', 'NN'), ('water', 'NN'), ('security', 'NN'), ('srinivasnagar', 'NN'), ('premises', 'VBZ'), ('july', 'RB'), ('22', 'CD'), ('surathkal_nitk', 'NN')]","['workshop', 'department', 'mechanics', 'hydraulics', 'institute', 'technology', 'karnataka', 'nit', 'k', 'day', 'reservoirs', 'strategy', 'water', 'security', 'srinivasnagar', 'surathkal_nitk']",0,1,4.68
