,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred
ChZDSUhNMG9nS0VJQ0FnSUQ4eDRLR0dREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4dTRXY2dBRRAB,,2.0,1.5,Positive,5,2.0,2
ChZDSUhNMG9nS0VJQ0FnSUQ4dTVIb1B3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4X2NPR2NnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4NjVqY1ZREAE,,1.0,1.5,Positive,5,1.0,1
ChdDSUhNMG9nS0VJQ0FnSUQ4cTlPSXhRRRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUQ4cTZHWWt3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4MDVQcDhBRRAB,"Best campus , beautiful infrastructure, placement was good",4.0,0.9001,Positive,4,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUQ4MC1HXzBnRRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUQ4MC1yUFp3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4ZzZyOWJBEAE,Good ambience and placement,5.0,0.4404,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUQ4Z195dFVBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4ZzVpUDVnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4ZzhqVVl3EAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4X2JtZWtRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4M1liV1ZnEAE,,3.0,1.5,Positive,5,3.0,3
ChdDSUhNMG9nS0VJQ0FnSUQ4bmFfNW5nRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4bmI2eGZ3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4bmFhbUxBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4OWV1NVNnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4OVkzd1hBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4bGRHbWFREAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUQ4bFpIRkFnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4NVlmVV9RRRAB,SRM HOSPITAL for medical emergency,5.0,-0.3818,Negative,2,3.5,4
ChZDSUhNMG9nS0VJQ0FnSUQ4cGJyQ1J3EAE,Super Fine,5.0,0.6908,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUQ4cFpqUlNnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4eGF5SDdnRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4eGRESTZBRRAB,The ever evolving archetecture of this institute keeps this place on its toes all the while!  Love it!,5.0,0.6988,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUQ4aGFfRjFRRRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUQ4aGIzUkF3EAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4dWVybXFnRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4dWNxUXhBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUN3cFBpVll3EAE,"The food is bad. The hostels do not provide any services other than existences. The education is not so good. You have to study 70% things yourself and you don't learn anything from the faculties. All they care about is fee and extra fee for everything is required. Even after paying all the fee the final degree and marksheet do t come on intended dates always expect a week or 2 delay from the staffs. The online portals crash half the time when it is most crucial. The management don't care about students and all the placements shown by the Institute are either 5 years old or in mass recruitment with bare minimum salary. As a student here, this place is bad. Don't go. It's a scam",1.0,-0.9528,Negative,1,1.0,1
ChdDSUhNMG9nS0VJQ0FnSUQ4MmRLMmp3RRAB,Very Good Infrastructure. Assured Placements. Well Experienced faculties.,5.0,0.7939,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUQ4MmVMYVF3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjdUxxMFVREAE,Guest,5.0,0.0,Neutral,2,3.5,4
ChZDSUhNMG9nS0VJQ0FnSUQ4MmJ6SWVBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4MmN6d2NBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4bWFlQjl3RRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUQ4bWNDQW9RRRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUQ4NmJPbVRREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4cWNfYW9RRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQ4Z2RISkdnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQ4enFlVDh3RRAB,,1.0,1.5,Positive,5,1.0,1
ChdDSUhNMG9nS0VJQ0FnSUQ4MnNpa3N3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4XzlQelN3EAE,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSUM4cDRuS0ZBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4dThmNkRnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4bTVLS1N3EAE,Good Hospital,5.0,0.4404,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUM4bThpdnJBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4cThXZF9nRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4cTVqMDFRRRAB,best h bhai,4.0,0.6369,Positive,4,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUM4aTZXekdBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4ODh1d0p3EAE,,3.0,1.5,Positive,5,3.0,3
ChdDSUhNMG9nS0VJQ0FnSUM4M2VTSzR3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4LWFqOGtBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4eWRYZkZnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4b2FEeTN3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4d2RmTklBEAE,,3.0,1.5,Positive,5,3.0,3
ChZDSUhNMG9nS0VJQ0FnSUM4X3RuOVZREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjbW9iYl9BRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4enB1aktREAE,,5.0,1.5,Positive,5,5.0,5
ChRDSUhNMG9nS0VJQ0FnSUM4aHRNbBAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4aHRYVy13RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4aHR5WU13EAE,It's srm institute of technology. Join at ur right,4.0,0.296,Positive,3,3.5,4
ChZDSUhNMG9nS0VJQ0FnSUM4LXFXZGNnEAE,,1.0,1.5,Positive,5,1.0,1
ChdDSUhNMG9nS0VJQ0FnSUM4dXNXRnVBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4NnU3VGNBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4NnFhUW1BRRAB,(Translated by Google) Chengalpat  (Original) Chengalpat,5.0,0.3182,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUM4eXBLNjRRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4eXBEWEhBEAE,Nice University,5.0,0.4215,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUM4aXBpUVVnEAE,,2.0,1.5,Positive,5,2.0,2
ChdDSUhNMG9nS0VJQ0FnSUM4OHA3WF9nRRAB,,1.0,1.5,Positive,5,1.0,1
ChdDSUhNMG9nS0VJQ0FnSUM4OHVqUjZ3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4MG9pWWlRRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4a29PZzVnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4bk4zVldnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4N1BXaU13EAE,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSUM4dE1xQ1JREAE,,5.0,1.5,Positive,5,5.0,5
