,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred
ChZDSUhNMG9nS0VJQ0FnSUM4bU9ILWJBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4bU5TYjFnRRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUM4bUpTVXdBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4NkwteVJnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4cU5YalNBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4OEt2NzdBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUM4OE5TMjhnRRAB,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURjNVA2REpBEAE,"First of all all are thinking srm is a bad collage and very expensive.instead of this we can enjoy collage life.as I am a srm student pursuing BTech in electronics and communication engineering.in first year itself I realised what the college is and we can enjoy collage life,how to bunk classes is a like next level happiness in our life.we can't get it again  in our whole life. 1.the faculties will help you a lot because I experienced . before the they will provide all the materials .if we prepare that materials we can easily pass in all subjects. 2.labs if u know something you can do labs otherwise  you can sit silently . they will give half marks.they only give free marks 3.when we come to hostel Life.u can gather large number of friends because u have almost free time daily .the periods also very less.u can chill in hostel Life. 4.girls.srm has more domination from north boys.if u have more talent.u can get chance to set a girlfriend.most of telugu students didn't have girlfriends and girl class mates also.because the shyness . talking with girls.one easy trick is when you come collage on opening day then  u can try first day onwards to impress a girl.otherwise it is difficult to get a girl. 5.When you come to food.food is worst for me.because it's suitable to only for North Indians. Andhra students will hate that food.u have all sources in campus itself.u have more canteens, restaurants,super markets, food courts and java u will get all food items in one place. 6.infrastructure.it is very good when you compare other collages.  Finally it is best collage .we can easily get placements.",4.0,0.9779,Positive,4,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUM4Z09iRXNBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjXzgzTGJnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjLTdyYlB3EAE,,3.0,1.5,Positive,5,3.0,3
ChZDSUhNMG9nS0VJQ0FnSURjcTRlY0J3EAE,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjZzl6WXlBRRAB,,3.0,1.5,Positive,5,3.0,3
ChdDSUhNMG9nS0VJQ0FnSURjX2FQYmlBRRAB,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURjdmN5X0tnEAE,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjblpXcTN3RRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjN1kySl9nRRAB,,3.0,1.5,Positive,5,3.0,3
ChdDSUhNMG9nS0VJQ0FnSURjdGJ5SG1nRRAB,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURjMWEyUFlnEAE,Temple,3.0,0.0,Neutral,2,2.5,2
ChZDSUhNMG9nS0VJQ0FnSURjMWJLZ0Z3EAE,Nice place,5.0,0.4215,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjNVkzR2tBRRAB,time wasted for 4 years,1.0,-0.4939,Negative,1,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURjcGJYMVhBEAE,Excellent University for college students,5.0,0.5719,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURjaWY2RU9BEAE,Very big infrastructure,5.0,0.0,Neutral,2,3.5,4
ChZDSUhNMG9nS0VJQ0FnSURjOGRfLWZREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjOGU3YWlnRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjOGZ5T3p3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjc1phMHd3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjMGUtLVNnEAE,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSURjMGZUN2VnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURja2VIc0ZBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjNGFIRVBREAE,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjanB1bnRBRRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjdHNTUC1nRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjMXF6SmFREAE,Best university 👌👌👌👌 good faculties and excellent infrastructure,5.0,0.9876,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURjbHZMRlJREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjbHBULTBBRRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjbHRESVlBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjNW8tZ0N3EAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjLXBIdzhBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjLXU3OWFREAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNjcGNtZUZnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjdW9LT3NBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjMnItRF93RRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjNnJfam5nRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjNnJPaElREAE,Gradually situation is normalizing,5.0,0.0,Neutral,2,3.5,4
ChdDSUhNMG9nS0VJQ0FnSURjNnBIODlBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjNnJLMmlRRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjcXZta3NBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjcXBqRDZnRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjeXRQdDNBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjeXBuUmNBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjeXVHLXRRRRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjeXRyNkV3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjeXFyeFFnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjaXJxVGZ3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjOG9PT2JnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjOHRxRXJBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjMHVhejNRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjMHVTMkVREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjMHVUcjRBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjNHBlbnFnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjNG9PYkp3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjNHY2TkhBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjb3BLQ1B3EAE,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjb29pWHZRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjd3QyNGF3EAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjd3FtSWV3EAE,Good infrastructure and nice place to develop ur skills and talents.,5.0,0.8271,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURjd29IN0xREAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjZ3FEZFlREAE,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjX1BlVF9RRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjbk1mckNREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjbk1xU2lBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjbk1TMXB3RRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjbk5pNGlnRRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjbk9EZ0J3EAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjN092N1NREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjN0sycDlBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjck1xQjN3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjckxTVW5BRRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjckxpaVVBEAE,(Translated by Google) Village Chipra Post Chipra Police Station Ratu  (Original) ग्राम चिपरा  पोस्ट चिपरा थाना  रातू राशि,5.0,0.3182,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjak1pZGh3RRAB,Excellent,5.0,0.5719,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURjOU5PY0RnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjdEp1XzNBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjdExPYTlRRRAB,,2.0,1.5,Positive,5,2.0,2
ChdDSUhNMG9nS0VJQ0FnSURjdE9HZnF3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjbE1PYU5nEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjbEtLMzlBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjaFBmdGtBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjaExqN2l3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjdUluVXhBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjdU1HWm9BRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjdUlHQ2JREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjdU42MWlRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjdU1pU2NBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjMk83RGtBRRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjbU5fUHVRRRAB,Awesome place😍,5.0,0.7964,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSURjbU4yUUhnEAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjbU8zYkRBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjbU5uVExREAE,,1.0,1.5,Positive,5,1.0,1
ChdDSUhNMG9nS0VJQ0FnSURjbU5yeGt3RRAB,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjbUt6ZWRnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjbVBUOVl3EAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjNk5ucXFnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjeU51Q1dREAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjeU11d3pnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjeU1USE1REAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjaU9HcWhBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjaUphMHR3RRAB,,1.0,1.5,Positive,5,1.0,1
ChdDSUhNMG9nS0VJQ0FnSURjME0ydWpnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURjNE02YldREAE,"Talking about our srm campus, you must have heard a lot from many people..But I as an alumni of this college can tell you better right? Firstly, the faculities in our college are very good & you will be provided with all the study materials whatever required. Secondly, and certainly the most important thing, placements! The placement opportunity in our college is very high.  Around 99% students of our college get placed. So, The only thing you have to do is set your goal..And work for it! Our college provides an avg package of 4-5 lpa. And the highest ie.the super dream companies can lead u up to are around 40lacs+. So just work hard, believe in yourself and you will pass out with flying colours.And, yes the mess food is not as good as your homes,but yes to gain something you need to ignore little things like this!",4.0,0.9687,Positive,4,4.0,4
ChZDSUhNMG9nS0VJQ0FnSURjd011MGV3EAE,Nice school,5.0,0.4215,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNjMzVYYWdBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNjMzdDOE9nEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNjbi1iaGZREAE,Excellent Infrastructure.,5.0,0.5719,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNjbC16R1V3EAE,,1.0,1.5,Positive,5,1.0,1
ChZDSUhNMG9nS0VJQ0FnSUNjcF9uZ1VBEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNjeC11VFJREAE,Don't go here if you have even a slight inclination towards studies. All they care about are fees and money. You can also starve to death sometimes because of the great tasting food you get(Sarcasm). They'll ask to remit more and more fees and money without providing anything they promised... please don't ruin your life.,1.0,0.8112,Positive,4,2.5,2
ChZDSUhNMG9nS0VJQ0FnSUN3c0lQTGRREAE,,3.0,1.5,Positive,5,3.0,3
ChdDSUhNMG9nS0VJQ0FnSUNjNi1fejRBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNjNjZLSEdnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNjczUyT3RRRRAB,,1.0,1.5,Positive,5,1.0,1
ChdDSUhNMG9nS0VJQ0FnSUNjdmFuaGhnRRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNjamREZXR3RRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNjOWYtS2R3EAE,,4.0,1.5,Positive,5,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUNjOWVYVEp3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNjOVlILVBnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNjMWJtX0l3EAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNjMWZyQzVRRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNjbGVlUTVnRRAB,,3.0,1.5,Positive,5,3.0,3
ChZDSUhNMG9nS0VJQ0FnSUNjbGZHd09nEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNjbFpicS1nRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNjbGJMUG1RRRAB,Studies are not Upto expectations and Food is bad But campus life and hostel life are good you'll get to know about good and bad things also financial management.,3.0,0.1779,Positive,3,3.0,3
ChdDSUhNMG9nS0VJQ0FnSUNjbGV5czBnRRAB,One of the best Institutes with nice infrastructure.,5.0,0.7906,Positive,4,4.5,5
ChZDSUhNMG9nS0VJQ0FnSUNjNWFEMkx3EAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNjcGZqVmtRRRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSUNjcGJqTW9RRRAB,best institution.,5.0,0.6369,Positive,4,4.5,5
